source_id,title,url,publisher,source_type,publication_date,sector_tags,priority,expected_format,status,notes
fca-complaints,Complaints,https://www.fca.org.uk/firms/complaints,Financial Conduct Authority,guidance,,consumer_credit;complaints,medium,html,planned,Complaint-handling context
fca-reporting,FCA reporting requirements,https://www.fca.org.uk/firms/regdata,Financial Conduct Authority,guidance,,consumer_credit;reporting,medium,html,planned,Reporting context
fca-consumer-credit-data,Consumer credit data reporting,https://www.fca.org.uk/firms/regdata,Financial Conduct Authority,guidance,,consumer_credit;reporting,medium,html,planned,May overlap with reporting source; deduplication test
fca-firm-handbook,FCA Handbook and guidance,https://www.fca.org.uk/firms/handbook,Financial Conduct Authority,guidance,,consumer_credit,low,html,planned,Navigation and source-discovery reference
fca-approach-consumers,Our approach to consumers,https://www.fca.org.uk/publications/corporate-documents/our-approach-consumers,Financial Conduct Authority,corporate_policy,,consumer_credit;consumer_protection,medium,html,planned,Consumer-protection policy context
fca-approach-supervision,Our approach to supervision,https://www.fca.org.uk/publications/corporate-documents/our-approach-supervision,Financial Conduct Authority,corporate_policy,,consumer_credit;supervision,medium,html,planned,Supervision context
fca-approach-enforcement,Our approach to enforcement,https://www.fca.org.uk/publications/corporate-documents/our-approach-enforcement,Financial Conduct Authority,corporate_policy,,consumer_credit;enforcement,medium,html,planned,Enforcement context
fca-business-plan,FCA Business Plan,https://www.fca.org.uk/publications/corporate-documents/our-business-plan,Financial Conduct Authority,corporate_policy,,consumer_credit;supervision,low,html,planned,Context only; do not use as rule authority
fca-regulatory-initiatives-grid,Regulatory Initiatives Grid,https://www.fca.org.uk/publications/corporate-documents/regulatory-initiatives-grid,Financial Conduct Authority,regulatory_priorities,,consumer_credit;regulatory_change,high,html,planned,Useful future scheduled-change discovery source
fca-dear-ceo,FCA Dear CEO letters,https://www.fca.org.uk/publications/dear-ceo-letters,Financial Conduct Authority,dear_ceo_letter,,consumer_credit;supervision,medium,html,planned,Discovery page; later select consumer-credit-specific letters
fca-enforcement,FCA enforcement notices,https://www.fca.org.uk/news/search-results?type=Enforcement%20notices,Financial Conduct Authority,enforcement_index,,consumer_credit;enforcement,low,html,planned,Discovery page only
fca-warnings,FCA warnings,https://www.fca.org.uk/consumers/warning-list-unauthorised-firms,Financial Conduct Authority,warnings,,consumer_credit,low,html,planned,Out of scope for core RAG answers; useful later for source diversity
govuk-cca-reform,Consumer Credit Act reformed to protect consumers and support modern finance,https://www.gov.uk/government/news/consumer-credit-act-reformed-to-protect-consumers-and-support-modern-finance,UK Government,government_policy,,consumer_credit;consumer_lending,high,html,planned,Government announcement; distinguish from enacted legislation
govuk-cca-commitment,UK commits to reform of the Consumer Credit Act,https://www.gov.uk/government/news/uk-commits-to-reform-of-the-consumer-credit-act,UK Government,government_policy,,consumer_credit;consumer_lending,medium,html,planned,Historical reform policy context
govuk-consumer-credit-directive,Consumer Credit Directive implementing regulations,https://www.gov.uk/government/publications/consumer-credit-regulations-guidance-on-implementing-the-consumer-credit-directive,UK Government,guidance,,consumer_credit,medium,html,planned,Historical regulatory context
legislation-cca-1974,Consumer Credit Act 1974,https://www.legislation.gov.uk/ukpga/1974/39,UK Legislation,legislation,,consumer_credit;consumer_lending,high,html,planned,Primary statutory source
legislation-cca-contents,Consumer Credit Act 1974 contents,https://www.legislation.gov.uk/ukpga/1974/39/contents,UK Legislation,legislation,,consumer_credit;consumer_lending,medium,html,planned,Navigation source; likely deduplicated with Act page
legislation-cca-part-ix,Consumer Credit Act 1974 Part IX,https://www.legislation.gov.uk/ukpga/1974/39/part/IX,UK Legislation,legislation,,consumer_credit;consumer_lending,medium,html,planned,Specific statutory section
legislation-fsma-dpc,Financial Services and Markets Act 2000 Regulated Activities Amendment Order 2025,https://www.legislation.gov.uk/uksi/2025/859,UK Legislation,legislation,,consumer_credit;bnpl,high,html,planned,Relevant deferred-payment-credit statutory instrument
govuk-legislation-home,Legislation.gov.uk,https://www.legislation.gov.uk/,UK Legislation,legislation_index,,consumer_credit,low,html,planned,Discovery page only
fca-cp25-23,CP25/23 Regulation of Deferred Payment Credit,https://www.fca.org.uk/publications/consultation-papers/cp25-23-regulation-deferred-payment-credit,Financial Conduct Authority,consultation_paper,,consumer_credit;bnpl,high,html,planned,Earlier proposal; useful against PS26/1 final policy statement
fca-consumer-finance,FCA Consumer Finance,https://www.fca.org.uk/firms/consumer-finance,Financial Conduct Authority,guidance,,consumer_credit;consumer_finance,medium,html,planned,Consumer-finance landing page
fca-credit-information,FCA credit information,https://www.fca.org.uk/firms/credit-information,Financial Conduct Authority,guidance,,consumer_credit;credit_reference,low,html,planned,Optional related source
